% C2    Ar    Excitation    11.50 eV                              
% E/N (Td)	Rate coefficient (m3/s)
0.100000	0.00000
0.105048	0.00000
0.120191	0.00000
0.145431	0.00000
0.180766	0.00000
0.226196	0.00000
0.281723	0.00000
0.347345	0.00000
0.423063	0.00000
0.508876	0.00000
0.604785	0.00000
0.710790	0.00000
0.826891	0.00000
0.953087	0.00000
1.08938	0.00000
1.23577	0.00000
1.39225	0.105199E-19
1.55883	0.110485E-19
1.73550	0.115517E-19
1.92227	0.120293E-19
2.11914	0.124842E-19
2.32610	0.129422E-19
2.54316	0.135517E-19
2.77031	0.149169E-19
3.00756	0.187595E-19
3.25491	0.287029E-19
3.51235	0.506164E-19
3.77988	0.920422E-19
4.05752	0.160848E-18
4.34524	0.263808E-18
4.64307	0.405757E-18
4.95099	0.589515E-18
5.26900	0.816317E-18
5.59711	0.108642E-17
5.93532	0.139961E-17
6.28362	0.175561E-17
6.64202	0.215426E-17
7.01051	0.259561E-17
7.38910	0.307999E-17
7.77778	0.360796E-17
8.17656	0.418031E-17
8.58544	0.479802E-17
9.00441	0.546336E-17
9.43348	0.617537E-17
9.87264	0.693651E-17
10.3219	0.774827E-17
10.7813	0.861218E-17
11.2507	0.952983E-17
11.7303	0.105029E-16
12.2199	0.115330E-16
12.7196	0.126219E-16
13.2295	0.137714E-16
13.7494	0.149831E-16
14.2794	0.162590E-16
14.8195	0.176007E-16
15.3698	0.190101E-16
15.9301	0.204890E-16
16.5005	0.220391E-16
17.0810	0.236622E-16
17.6716	0.253601E-16
18.2723	0.271346E-16
18.8831	0.289874E-16
19.5039	0.309203E-16
20.1349	0.329348E-16
20.7760	0.350327E-16
21.4272	0.372156E-16
22.0884	0.394851E-16
22.7598	0.418427E-16
23.4413	0.442901E-16
24.1328	0.468287E-16
24.8345	0.494599E-16
25.5462	0.521851E-16
26.2681	0.550058E-16
27.0000	0.579232E-16
27.7420	0.609386E-16
28.4942	0.640533E-16
29.2564	0.672684E-16
30.0287	0.705851E-16
30.8111	0.740045E-16
31.6036	0.775277E-16
32.4063	0.811555E-16
33.2190	0.848892E-16
34.0418	0.887295E-16
34.8747	0.926774E-16
35.7176	0.967337E-16
36.5707	0.100886E-15
37.4339	0.105161E-15
38.3072	0.109548E-15
39.1906	0.114045E-15
40.0840	0.118655E-15
40.9876	0.123377E-15
41.9013	0.128214E-15
42.8250	0.133164E-15
43.7589	0.138229E-15
44.7028	0.143409E-15
45.6569	0.148705E-15
46.6210	0.154118E-15
47.5952	0.159647E-15
48.5796	0.165294E-15
49.5740	0.171059E-15
50.5785	0.176942E-15
51.5931	0.182944E-15
52.6179	0.189065E-15
53.6527	0.195306E-15
54.6976	0.201667E-15
55.7526	0.208149E-15
56.8177	0.214752E-15
57.8929	0.221477E-15
58.9782	0.228324E-15
60.0735	0.235293E-15
61.1790	0.242385E-15
62.2946	0.249601E-15
63.4203	0.256941E-15
64.5560	0.264405E-15
65.7019	0.271994E-15
66.8578	0.279708E-15
68.0239	0.287548E-15
69.2000	0.295515E-15
70.3863	0.303608E-15
71.5826	0.311829E-15
72.7891	0.320178E-15
74.0056	0.328655E-15
75.2322	0.337261E-15
76.4690	0.345997E-15
77.7158	0.354832E-15
78.9727	0.363828E-15
80.2397	0.372956E-15
81.5168	0.382216E-15
82.8040	0.391608E-15
84.1013	0.401134E-15
85.4087	0.410793E-15
86.7262	0.420587E-15
88.0538	0.430516E-15
89.3915	0.440581E-15
90.7392	0.450782E-15
92.0971	0.461121E-15
93.4651	0.471598E-15
94.8431	0.482213E-15
96.2313	0.492967E-15
97.6296	0.503862E-15
99.0379	0.514898E-15
100.456	0.526075E-15
101.885	0.537394E-15
103.324	0.548857E-15
104.772	0.560463E-15
106.231	0.572200E-15
107.700	0.584096E-15
109.179	0.596139E-15
110.668	0.608328E-15
112.167	0.620665E-15
113.677	0.633151E-15
115.196	0.645786E-15
116.726	0.658572E-15
118.265	0.671509E-15
119.815	0.684597E-15
121.375	0.697838E-15
122.945	0.711233E-15
124.525	0.724782E-15
126.115	0.738487E-15
127.715	0.752347E-15
129.325	0.766364E-15
130.945	0.780539E-15
132.576	0.794873E-15
134.216	0.809366E-15
135.867	0.824042E-15
137.528	0.838857E-15
139.199	0.853834E-15
140.880	0.868973E-15
142.571	0.884276E-15
144.272	0.899744E-15
145.983	0.915377E-15
147.704	0.931176E-15
149.436	0.947142E-15
151.177	0.963275E-15
152.929	0.979578E-15
154.690	0.996049E-15
156.462	0.101269E-14
158.244	0.102950E-14
160.036	0.104649E-14
161.838	0.106365E-14
163.650	0.108098E-14
165.473	0.109848E-14
167.305	0.111616E-14
169.148	0.113391E-14
171.000	0.115194E-14
172.863	0.117015E-14
174.735	0.118854E-14
176.618	0.120711E-14
178.511	0.122586E-14
180.414	0.124478E-14
182.327	0.126389E-14
184.251	0.128318E-14
186.184	0.130265E-14
188.127	0.132231E-14
190.081	0.134215E-14
192.045	0.136218E-14
194.018	0.138239E-14
196.002	0.140279E-14
197.996	0.142337E-14
200.000	0.144414E-14
