% C3    Ar    Ionization    15.80 eV                              
% E/N (Td)	Rate coefficient (m3/s)
0.100000	0.00000
0.105048	0.00000
0.120191	0.00000
0.145431	0.00000
0.180766	0.00000
0.226196	0.00000
0.281723	0.00000
0.347345	0.00000
0.423063	0.00000
0.508876	0.00000
0.604785	0.00000
0.710790	0.00000
0.826891	0.00000
0.953087	0.00000
1.08938	0.00000
1.23577	0.00000
1.39225	0.588977E-21
1.55883	0.821586E-21
1.73550	0.108961E-20
1.92227	0.138822E-20
2.11914	0.171244E-20
2.32610	0.205833E-20
2.54316	0.242065E-20
2.77031	0.279567E-20
3.00756	0.317805E-20
3.25491	0.356004E-20
3.51235	0.393163E-20
3.77988	0.428189E-20
4.05752	0.460129E-20
4.34524	0.488384E-20
4.64307	0.512769E-20
4.95099	0.533447E-20
5.26900	0.550815E-20
5.59711	0.565359E-20
5.93532	0.577579E-20
6.28362	0.587926E-20
6.64202	0.596802E-20
7.01051	0.604526E-20
7.38910	0.611359E-20
7.77778	0.617515E-20
8.17656	0.623174E-20
8.58544	0.628495E-20
9.00441	0.633717E-20
9.43348	0.638913E-20
9.87264	0.644383E-20
10.3219	0.650478E-20
10.7813	0.657680E-20
11.2507	0.666680E-20
11.7303	0.678453E-20
12.2199	0.694345E-20
12.7196	0.716196E-20
13.2295	0.746451E-20
13.7494	0.788317E-20
14.2794	0.845909E-20
14.8195	0.924434E-20
15.3698	0.103037E-19
15.9301	0.117165E-19
16.5005	0.135790E-19
17.0810	0.160062E-19
17.6716	0.191342E-19
18.2723	0.231220E-19
18.8831	0.281541E-19
19.5039	0.344423E-19
20.1349	0.422276E-19
20.7760	0.517823E-19
21.4272	0.634119E-19
22.0884	0.774565E-19
22.7598	0.942922E-19
23.4413	0.114333E-18
24.1328	0.138031E-18
24.8345	0.165880E-18
25.5462	0.198411E-18
26.2681	0.236200E-18
27.0000	0.279862E-18
27.7420	0.330055E-18
28.4942	0.387481E-18
29.2564	0.452882E-18
30.0287	0.527042E-18
30.8111	0.610788E-18
31.6036	0.704990E-18
32.4063	0.810554E-18
33.2190	0.928431E-18
34.0418	0.105961E-17
34.8747	0.120511E-17
35.7176	0.136601E-17
36.5707	0.154466E-17
37.4339	0.173973E-17
38.3072	0.195359E-17
39.1906	0.218746E-17
40.0840	0.244255E-17
40.9876	0.272015E-17
41.9013	0.302153E-17
42.8250	0.334804E-17
43.7589	0.370101E-17
44.7028	0.408181E-17
45.6569	0.449185E-17
46.6210	0.493255E-17
47.5952	0.540535E-17
48.5796	0.591171E-17
49.5740	0.645311E-17
50.5785	0.703105E-17
51.5931	0.764705E-17
52.6179	0.830264E-17
53.6527	0.899936E-17
54.6976	0.973877E-17
55.7526	0.105225E-16
56.8177	0.113520E-16
57.8929	0.122290E-16
58.9782	0.131550E-16
60.0735	0.141317E-16
61.1790	0.151606E-16
62.2946	0.162435E-16
63.4203	0.173819E-16
64.5560	0.185775E-16
65.7019	0.198320E-16
66.8578	0.211469E-16
68.0239	0.225240E-16
69.2000	0.239649E-16
70.3863	0.254713E-16
71.5826	0.270448E-16
72.7891	0.286871E-16
74.0056	0.303999E-16
75.2322	0.321849E-16
76.4690	0.340437E-16
77.7158	0.359784E-16
78.9727	0.379898E-16
80.2397	0.400801E-16
81.5168	0.422510E-16
82.8040	0.445042E-16
84.1013	0.468414E-16
85.4087	0.492641E-16
86.7262	0.517743E-16
88.0538	0.543734E-16
89.3915	0.570633E-16
90.7392	0.598456E-16
92.0971	0.627221E-16
93.4651	0.656944E-16
94.8431	0.687642E-16
96.2313	0.719331E-16
97.6296	0.752031E-16
99.0379	0.785757E-16
100.456	0.820526E-16
101.885	0.856355E-16
103.324	0.893262E-16
104.772	0.931264E-16
106.231	0.970277E-16
107.700	0.101052E-15
109.179	0.105190E-15
110.668	0.109445E-15
112.167	0.113818E-15
113.677	0.118310E-15
115.196	0.122924E-15
116.726	0.127662E-15
118.265	0.132524E-15
119.815	0.137513E-15
121.375	0.142630E-15
122.945	0.147878E-15
124.525	0.153257E-15
126.115	0.158770E-15
127.715	0.164419E-15
129.325	0.170204E-15
130.945	0.176129E-15
132.576	0.182194E-15
134.216	0.188401E-15
135.867	0.194767E-15
137.528	0.201265E-15
139.199	0.207911E-15
140.880	0.214705E-15
142.571	0.221652E-15
144.272	0.228751E-15
145.983	0.236005E-15
147.704	0.243416E-15
149.436	0.250984E-15
151.177	0.258714E-15
152.929	0.266605E-15
154.690	0.274660E-15
156.462	0.282880E-15
158.244	0.291268E-15
160.036	0.299825E-15
161.838	0.308553E-15
163.650	0.317454E-15
165.473	0.326530E-15
167.305	0.335782E-15
169.148	0.345197E-15
171.000	0.354807E-15
172.863	0.364599E-15
174.735	0.374575E-15
176.618	0.384737E-15
178.511	0.395087E-15
180.414	0.405625E-15
182.327	0.416355E-15
184.251	0.427278E-15
186.184	0.438396E-15
188.127	0.449711E-15
190.081	0.461224E-15
192.045	0.472938E-15
194.018	0.484855E-15
196.002	0.496975E-15
197.996	0.509302E-15
200.000	0.521837E-15
