% C4    Ar*    De-excitation    11.50 eV                          
% E/N (Td)	Rate coefficient (m3/s)
0.100000	0.368264E-14
0.105048	0.373641E-14
0.120191	0.389220E-14
0.145431	0.413634E-14
0.180766	0.445104E-14
0.226196	0.481896E-14
0.281723	0.522522E-14
0.347345	0.566181E-14
0.423063	0.612692E-14
0.508876	0.662453E-14
0.604785	0.715882E-14
0.710790	0.773261E-14
0.826891	0.834699E-14
0.953087	0.900062E-14
1.08938	0.968856E-14
1.23577	0.104056E-13
1.39225	0.111639E-13
1.55883	0.119206E-13
1.73550	0.126879E-13
1.92227	0.134605E-13
2.11914	0.142342E-13
2.32610	0.150070E-13
2.54316	0.157743E-13
2.77031	0.165339E-13
3.00756	0.172803E-13
3.25491	0.180026E-13
3.51235	0.186860E-13
3.77988	0.193143E-13
4.05752	0.198739E-13
4.34524	0.203577E-13
4.64307	0.207660E-13
4.95099	0.211046E-13
5.26900	0.213828E-13
5.59711	0.216109E-13
5.93532	0.217987E-13
6.28362	0.219548E-13
6.64202	0.220867E-13
7.01051	0.222001E-13
7.38910	0.222993E-13
7.77778	0.223881E-13
8.17656	0.224690E-13
8.58544	0.225441E-13
9.00441	0.226156E-13
9.43348	0.226833E-13
9.87264	0.227487E-13
10.3219	0.228127E-13
10.7813	0.228756E-13
11.2507	0.229379E-13
11.7303	0.229998E-13
12.2199	0.230615E-13
12.7196	0.231232E-13
13.2295	0.231851E-13
13.7494	0.232473E-13
14.2794	0.233097E-13
14.8195	0.233724E-13
15.3698	0.234356E-13
15.9301	0.234991E-13
16.5005	0.235630E-13
17.0810	0.236274E-13
17.6716	0.236922E-13
18.2723	0.237573E-13
18.8831	0.238229E-13
19.5039	0.238889E-13
20.1349	0.239552E-13
20.7760	0.240219E-13
21.4272	0.240889E-13
22.0884	0.241563E-13
22.7598	0.242239E-13
23.4413	0.242918E-13
24.1328	0.243600E-13
24.8345	0.244284E-13
25.5462	0.244971E-13
26.2681	0.245659E-13
27.0000	0.246349E-13
27.7420	0.247041E-13
28.4942	0.247734E-13
29.2564	0.248428E-13
30.0287	0.249123E-13
30.8111	0.249819E-13
31.6036	0.250516E-13
32.4063	0.251213E-13
33.2190	0.251910E-13
34.0418	0.252607E-13
34.8747	0.253305E-13
35.7176	0.254001E-13
36.5707	0.254708E-13
37.4339	0.255404E-13
38.3072	0.256099E-13
39.1906	0.256794E-13
40.0840	0.257487E-13
40.9876	0.258180E-13
41.9013	0.258871E-13
42.8250	0.259560E-13
43.7589	0.260248E-13
44.7028	0.260935E-13
45.6569	0.261621E-13
46.6210	0.262305E-13
47.5952	0.262987E-13
48.5796	0.263668E-13
49.5740	0.264346E-13
50.5785	0.265023E-13
51.5931	0.265698E-13
52.6179	0.266370E-13
53.6527	0.267041E-13
54.6976	0.267709E-13
55.7526	0.268375E-13
56.8177	0.269039E-13
57.8929	0.269701E-13
58.9782	0.270361E-13
60.0735	0.271018E-13
61.1790	0.271672E-13
62.2946	0.272325E-13
63.4203	0.272975E-13
64.5560	0.273622E-13
65.7019	0.274268E-13
66.8578	0.274910E-13
68.0239	0.275550E-13
69.2000	0.276188E-13
70.3863	0.276824E-13
71.5826	0.277457E-13
72.7891	0.278088E-13
74.0056	0.278716E-13
75.2322	0.279342E-13
76.4690	0.279966E-13
77.7158	0.280589E-13
78.9727	0.281207E-13
80.2397	0.281824E-13
81.5168	0.282438E-13
82.8040	0.283050E-13
84.1013	0.283659E-13
85.4087	0.284266E-13
86.7262	0.284871E-13
88.0538	0.285474E-13
89.3915	0.286074E-13
90.7392	0.286673E-13
92.0971	0.287269E-13
93.4651	0.287863E-13
94.8431	0.288455E-13
96.2313	0.289044E-13
97.6296	0.289631E-13
99.0379	0.290216E-13
100.456	0.290800E-13
101.885	0.291381E-13
103.324	0.291961E-13
104.772	0.292538E-13
106.231	0.293120E-13
107.700	0.293693E-13
109.179	0.294265E-13
110.668	0.294835E-13
112.167	0.295403E-13
113.677	0.295969E-13
115.196	0.296534E-13
116.726	0.297097E-13
118.265	0.297658E-13
119.815	0.298217E-13
121.375	0.298774E-13
122.945	0.299330E-13
124.525	0.299884E-13
126.115	0.300437E-13
127.715	0.300988E-13
129.325	0.301537E-13
130.945	0.302085E-13
132.576	0.302632E-13
134.216	0.303177E-13
135.867	0.303725E-13
137.528	0.304267E-13
139.199	0.304807E-13
140.880	0.305346E-13
142.571	0.305884E-13
144.272	0.306421E-13
145.983	0.306956E-13
147.704	0.307489E-13
149.436	0.308022E-13
151.177	0.308553E-13
152.929	0.309083E-13
154.690	0.309612E-13
156.462	0.310139E-13
158.244	0.310666E-13
160.036	0.311191E-13
161.838	0.311715E-13
163.650	0.312238E-13
165.473	0.312760E-13
167.305	0.313280E-13
169.148	0.313793E-13
171.000	0.314312E-13
172.863	0.314829E-13
174.735	0.315346E-13
176.618	0.315862E-13
178.511	0.316376E-13
180.414	0.316890E-13
182.327	0.317403E-13
184.251	0.317914E-13
186.184	0.318425E-13
188.127	0.318935E-13
190.081	0.319445E-13
192.045	0.319953E-13
194.018	0.320460E-13
196.002	0.320967E-13
197.996	0.321473E-13
200.000	0.321978E-13
