% C5    Ar*    Ionization    4.30 eV                              
% E/N (Td)	Rate coefficient (m3/s)
0.100000	0.00000
0.105048	0.00000
0.120191	0.00000
0.145431	0.00000
0.180766	0.00000
0.226196	0.118026E-28
0.281723	0.312154E-25
0.347345	0.127453E-22
0.423063	0.104969E-20
0.508876	0.260475E-19
0.604785	0.273149E-18
0.710790	0.156423E-17
0.826891	0.587213E-17
0.953087	0.163867E-16
1.08938	0.369811E-16
1.23577	0.715363E-16
1.39225	0.124288E-15
1.55883	0.196134E-15
1.73550	0.289168E-15
1.92227	0.403989E-15
2.11914	0.540584E-15
2.32610	0.698760E-15
2.54316	0.877375E-15
2.77031	0.107535E-14
3.00756	0.129018E-14
3.25491	0.151729E-14
3.51235	0.174981E-14
3.77988	0.197936E-14
4.05752	0.219779E-14
4.34524	0.239883E-14
4.64307	0.257894E-14
4.95099	0.273722E-14
5.26900	0.287471E-14
5.59711	0.299361E-14
5.93532	0.309655E-14
6.28362	0.318619E-14
6.64202	0.326495E-14
7.01051	0.333492E-14
7.38910	0.339785E-14
7.77778	0.345516E-14
8.17656	0.350802E-14
8.58544	0.355732E-14
9.00441	0.360409E-14
9.43348	0.364837E-14
9.87264	0.369089E-14
10.3219	0.373203E-14
10.7813	0.377210E-14
11.2507	0.381134E-14
11.7303	0.384994E-14
12.2199	0.388805E-14
12.7196	0.392582E-14
13.2295	0.396334E-14
13.7494	0.400071E-14
14.2794	0.403798E-14
14.8195	0.407524E-14
15.3698	0.411251E-14
15.9301	0.414985E-14
16.5005	0.418728E-14
17.0810	0.422484E-14
17.6716	0.426254E-14
18.2723	0.430040E-14
18.8831	0.433844E-14
19.5039	0.437667E-14
20.1349	0.441510E-14
20.7760	0.445373E-14
21.4272	0.449257E-14
22.0884	0.453163E-14
22.7598	0.457090E-14
23.4413	0.461038E-14
24.1328	0.465009E-14
24.8345	0.469000E-14
25.5462	0.473013E-14
26.2681	0.477047E-14
27.0000	0.481102E-14
27.7420	0.485177E-14
28.4942	0.489272E-14
29.2564	0.493387E-14
30.0287	0.497520E-14
30.8111	0.501672E-14
31.6036	0.505842E-14
32.4063	0.510029E-14
33.2190	0.514233E-14
34.0418	0.518454E-14
34.8747	0.522690E-14
35.7176	0.526942E-14
36.5707	0.531260E-14
37.4339	0.535539E-14
38.3072	0.539831E-14
39.1906	0.544137E-14
40.0840	0.548455E-14
40.9876	0.552785E-14
41.9013	0.557126E-14
42.8250	0.561479E-14
43.7589	0.565842E-14
44.7028	0.570214E-14
45.6569	0.574597E-14
46.6210	0.578988E-14
47.5952	0.583388E-14
48.5796	0.587796E-14
49.5740	0.592212E-14
50.5785	0.596635E-14
51.5931	0.601066E-14
52.6179	0.605503E-14
53.6527	0.609947E-14
54.6976	0.614396E-14
55.7526	0.618852E-14
56.8177	0.623314E-14
57.8929	0.627780E-14
58.9782	0.632252E-14
60.0735	0.636729E-14
61.1790	0.641210E-14
62.2946	0.645696E-14
63.4203	0.650187E-14
64.5560	0.654681E-14
65.7019	0.659180E-14
66.8578	0.663682E-14
68.0239	0.668189E-14
69.2000	0.672699E-14
70.3863	0.677213E-14
71.5826	0.681731E-14
72.7891	0.686252E-14
74.0056	0.690777E-14
75.2322	0.695305E-14
76.4690	0.699837E-14
77.7158	0.704362E-14
78.9727	0.708901E-14
80.2397	0.713443E-14
81.5168	0.717989E-14
82.8040	0.722538E-14
84.1013	0.727091E-14
85.4087	0.731647E-14
86.7262	0.736208E-14
88.0538	0.740772E-14
89.3915	0.745340E-14
90.7392	0.749912E-14
92.0971	0.754488E-14
93.4651	0.759068E-14
94.8431	0.763652E-14
96.2313	0.768241E-14
97.6296	0.772834E-14
99.0379	0.777432E-14
100.456	0.782035E-14
101.885	0.786642E-14
103.324	0.791254E-14
104.772	0.795872E-14
106.231	0.800529E-14
107.700	0.805156E-14
109.179	0.809790E-14
110.668	0.814429E-14
112.167	0.819074E-14
113.677	0.823725E-14
115.196	0.828382E-14
116.726	0.833045E-14
118.265	0.837715E-14
119.815	0.842391E-14
121.375	0.847075E-14
122.945	0.851765E-14
124.525	0.856462E-14
126.115	0.861166E-14
127.715	0.865878E-14
129.325	0.870598E-14
130.945	0.875325E-14
132.576	0.880061E-14
134.216	0.884804E-14
135.867	0.889582E-14
137.528	0.894343E-14
139.199	0.899112E-14
140.880	0.903890E-14
142.571	0.908677E-14
144.272	0.913473E-14
145.983	0.918279E-14
147.704	0.923095E-14
149.436	0.927920E-14
151.177	0.932755E-14
152.929	0.937601E-14
154.690	0.942457E-14
156.462	0.947324E-14
158.244	0.952201E-14
160.036	0.957089E-14
161.838	0.961989E-14
163.650	0.966899E-14
165.473	0.971822E-14
167.305	0.976756E-14
169.148	0.981655E-14
171.000	0.986613E-14
172.863	0.991583E-14
174.735	0.996566E-14
176.618	0.100156E-13
178.511	0.100657E-13
180.414	0.101159E-13
182.327	0.101663E-13
184.251	0.102167E-13
186.184	0.102674E-13
188.127	0.103181E-13
190.081	0.103690E-13
192.045	0.104200E-13
194.018	0.104712E-13
196.002	0.105226E-13
197.996	0.105740E-13
200.000	0.106257E-13
