% E/N (Td)	Mean energy (eV)
% 0.100000E-01	0.304761
0.932945E-01	0.763140
0.343178	1.45411
0.759650	2.14992
1.34271	2.85348
2.09236	3.54703
3.00860	4.20931
4.09143	4.76650
5.34085	5.08411
6.75685	5.23182
8.33945	5.31442
10.0886	5.37738
12.0044	5.43582
14.0868	5.49416
16.3357	5.55406
18.7513	5.61587
21.3334	5.67951
24.0821	5.74490
26.9974	5.81145
30.0793	5.87906
33.3278	5.94742
36.7429	6.01629
40.3245	6.08563
44.0728	6.15488
47.9876	6.22409
52.0690	6.29312
56.3171	6.36182
60.7317	6.43029
65.3129	6.49842
70.0606	6.56619
74.9750	6.63361
80.0560	6.70084
85.3035	6.76762
90.7177	6.83413
96.2984	6.90042
102.046	6.96659
107.960	7.03257
114.040	7.09849
120.287	7.16440
126.701	7.23035
133.281	7.29638
140.028	7.36259
146.941	7.42902
154.021	7.49572
161.268	7.56276
168.681	7.63053
176.261	7.69840
184.007	7.76676
191.920	7.83567
200.000	7.90461
