% E/N (Td)	Mobility *N (1/m/V/s)
0.100000E-01	0.923916E+26
0.932945E-01	0.172441E+26
0.343178	0.669508E+25
0.759650	0.369248E+25
1.34271	0.241511E+25
2.09236	0.172558E+25
3.00860	0.130569E+25
4.09143	0.108276E+25
5.34085	0.102941E+25
6.75685	0.103805E+25
8.33945	0.104979E+25
10.0886	0.105283E+25
12.0044	0.104794E+25
14.0868	0.103784E+25
16.3357	0.102443E+25
18.7513	0.100911E+25
21.3334	0.992849E+24
24.0821	0.976286E+24
26.9974	0.959916E+24
30.0793	0.944014E+24
33.3278	0.928776E+24
36.7429	0.914319E+24
40.3245	0.900690E+24
44.0728	0.887933E+24
47.9876	0.876018E+24
52.0690	0.864912E+24
56.3171	0.854453E+24
60.7317	0.844822E+24
65.3129	0.835843E+24
70.0606	0.827460E+24
74.9750	0.819618E+24
80.0560	0.812328E+24
85.3035	0.805413E+24
90.7177	0.798896E+24
96.2984	0.792735E+24
102.046	0.786855E+24
107.960	0.781303E+24
114.040	0.776011E+24
120.287	0.770953E+24
126.701	0.766105E+24
133.281	0.761383E+24
140.028	0.756901E+24
146.941	0.752576E+24
154.021	0.748393E+24
161.268	0.744342E+24
168.681	0.740446E+24
176.261	0.736622E+24
184.007	0.732899E+24
191.920	0.729269E+24
200.000	0.725527E+24
